StartDeltaMS	LastScanDeltaMS	Velocity	
0	0	0.0	
16	16	0.0	
20	4	0.0	
22	2	0.0	
35	13	0.6914898979905626	
55	20	2.117924738576367	
75	20	10.200756954375748	
95	20	10.200544956505428	
115	20	20.619041355439876	
135	20	25.89045734135462	
155	20	31.68043287473719	
175	20	42.702015304114184	
195	20	48.234156669911805	
215	20	54.71624978673012	
235	20	67.169548573681	
255	20	73.61137270728364	
275	20	80.5278634502126	
295	20	92.36643795001645	
315	20	96.559990534648	
335	20	98.97874310971133	
355	20	101.75619149347581	
375	20	104.08942906717348	
395	20	109.06582212469755	
415	20	112.0527628877301	
435	20	114.64138035428674	
455	20	119.60657643170275	
475	20	122.28914462622373	
495	20	124.49531762579706	
515	20	129.04223756975	
535	20	131.1972391602671	
555	20	133.18706876570215	
575	20	136.7719074964567	
595	20	136.77774572162699	
615	20	140.01903711469845	
635	20	141.58138127705877	
655	20	142.87877786344328	
675	20	145.33593679615356	
695	20	146.45842796266453	
715	19	147.4983270952115	
735	20	149.62317895685146	
755	20	150.526069360792	
775	20	151.31168153262806	
795	20	153.12740616820804	
815	20	153.98489311811736	
835	20	154.67713991961148	
855	20	155.45521411245807	
876	21	155.7513011357933	
895	19	156.89200860465516	
915	20	157.30517204474415	
935	20	157.88144272517232	
955	20	158.9176051921276	
975	20	159.30864330079862	
995	20	159.6933484618114	
1015	20	160.4245665765023	
1035	20	160.78609169297755	
1055	20	160.95013485433233	
1075	20	161.63808343166772	
1095	20	161.6289771057987	
1115	20	162.1532298083292	
1135	20	162.55071381507366	
1155	20	162.68119083623301	
1175	20	163.09988708235926	
1195	20	163.32883719399598	
1215	20	163.46030234497104	
1235	20	163.93600564875533	
1255	20	164.15552681296626	
1275	20	164.4089576565387	
1295	20	164.84345365657725	
1315	20	164.97385280273699	
1335	20	165.23243711640916	
1355	20	165.66295866180928	
1375	20	165.8764248311844	
1395	20	166.39366961897622	
1415	20	166.69820444084678	
1435	20	167.0429413876465	
1455	20	167.56828351987744	
1475	20	167.74035714526076	
1495	20	167.9205174933609	
1515	20	168.09008812559892	
1535	20	168.13475080043506	
1555	20	168.1362196944925	
1575	20	168.26669081480827	
1595	20	168.25568694506194	
1615	20	168.4728471129735	
1635	20	168.51394441584867	
1655	20	168.5089386746383	
1675	20	168.46854412893188	
1695	20	168.51970122906621	
1715	20	168.5693309600547	
1735	20	168.64647527899083	
1755	20	168.73259437922903	
1775	20	168.82712930961827	
1795	20	169.1319202373709	
1815	20	169.21616614925264	
1835	20	169.25787928362612	
1855	20	169.26024759823596	
1877	22	169.30327344635128	
1895	18	169.38933151718493	
1915	20	169.51944721065647	
1935	20	169.6067811519551	
1955	20	169.81623608629627	
1975	20	169.9081076315246	
1995	20	169.90900410457002	
2015	20	170.07571615896725	
2035	20	170.11837666007455	
2055	20	170.2013101665581	
2075	20	170.20876766924385	
2095	20	170.20414797556964	
2115	20	170.28736993923908	
2135	20	170.3363220391868	
2155	20	170.46851232832014	
2175	20	170.60042766743038	
2195	20	170.64344109917667	
2215	20	170.642059221826	
2235	20	170.94235381939575	
2255	20	170.97459588584996	
2275	20	171.23380632955153	
2295	20	171.33092063336605	
2315	20	171.46279439110666	
2335	20	171.63231808053547	
2355	20	171.71167903071085	
2375	20	171.72130668614528	
2395	20	171.80336596056026	
2415	20	171.7581586517961	
2435	20	171.72089863517485	
2455	20	171.71651699541061	
2475	20	171.67497536184038	
2495	20	171.54815191172128	
2515	20	171.37379188511576	
2535	20	171.3380535556528	
2555	20	171.2948133094898	
2575	20	171.32746192287763	
2595	20	171.32642710979815	
2615	20	171.328923424911	
2635	20	171.29172185426305	
2655	20	171.24480448140855	
2675	20	171.034356830885	
2695	20	170.94730795611596	
2715	20	170.81764646933817	
2735	20	170.72541615965542	
2755	20	170.72177907465246	
